"survey_com_code_id";"survey_com_code_rank";"com_code";"com_code_grp";"survey_id"
1;0;"DI01";"DISEASE";1
2;0;"DI02";"DISEASE";1
3;0;"DI07";"DISEASE";1
4;0;"DI00";"DISEASE";2
5;0;"DI04";"DISEASE";3
6;0;"DI05";"DISEASE";3
7;0;"DI13";"DISEASE";3
8;0;"DI03";"DISEASE";4
9;0;"DI07";"DISEASE";4
10;0;"DI11";"DISEASE";4
11;0;"DI12";"DISEASE";4
12;0;"DI02";"DISEASE";5
13;0;"DI03";"DISEASE";5
14;0;"DI04";"DISEASE";5
15;0;"DI06";"DISEASE";5
16;0;"DI07";"DISEASE";5
17;0;"DI03";"DISEASE";6
18;0;"DI06";"DISEASE";6
19;0;"DI00";"DISEASE";7
20;0;"DI01";"DISEASE";8
21;0;"DI04";"DISEASE";8
22;0;"DI06";"DISEASE";8
23;0;"DI02";"DISEASE";9
24;0;"DI04";"DISEASE";9
25;0;"DI05";"DISEASE";9
26;0;"DI06";"DISEASE";9
27;0;"DI07";"DISEASE";9
28;0;"DI17";"DISEASE";10
29;0;"DI13";"DISEASE";11
30;0;"DI06";"DISEASE";12
31;0;"DI07";"DISEASE";12
32;0;"DI01";"DISEASE";13
33;0;"DI02";"DISEASE";13
34;0;"DI05";"DISEASE";13
35;0;"DI06";"DISEASE";13
36;0;"DI07";"DISEASE";13
37;0;"DI07";"DISEASE";14
38;0;"DI13";"DISEASE";14
39;0;"DI05";"DISEASE";15
40;0;"DI09";"DISEASE";15
41;0;"DI01";"DISEASE";16
42;0;"DI05";"DISEASE";16
43;0;"DI06";"DISEASE";16
44;0;"DI02";"DISEASE";17
45;0;"DI03";"DISEASE";17
46;0;"DI03";"DISEASE";18
47;0;"DI04";"DISEASE";18
48;0;"DI17";"DISEASE";18
49;0;"DI01";"DISEASE";19
50;0;"DI03";"DISEASE";20
51;0;"DI01";"DISEASE";21
52;0;"DI07";"DISEASE";22
53;0;"DI08";"DISEASE";22
54;0;"DI14";"DISEASE";22
55;0;"DI04";"DISEASE";23
56;0;"DI06";"DISEASE";23
57;0;"DI07";"DISEASE";23
58;0;"DI03";"DISEASE";24
59;0;"DI05";"DISEASE";24
60;0;"DI01";"DISEASE";25
61;0;"DI07";"DISEASE";25
62;0;"DI01";"DISEASE";26
63;0;"DI03";"DISEASE";26
64;0;"DI05";"DISEASE";26
65;0;"DI06";"DISEASE";26
66;0;"DI07";"DISEASE";26
67;0;"DI02";"DISEASE";27
68;0;"DI03";"DISEASE";27
69;0;"DI04";"DISEASE";27
70;0;"DI06";"DISEASE";27
71;0;"DI01";"DISEASE";28
72;0;"DI03";"DISEASE";29
73;0;"DI04";"DISEASE";29
74;0;"DI05";"DISEASE";29
75;0;"DI06";"DISEASE";29
76;0;"DI01";"DISEASE";30
77;0;"DI03";"DISEASE";30
78;0;"DI05";"DISEASE";30
79;0;"DI06";"DISEASE";30
80;0;"DI03";"DISEASE";31
81;0;"DI00";"DISEASE";32
82;0;"DI03";"DISEASE";33
83;0;"DI00";"DISEASE";34
84;0;"DI00";"DISEASE";35
85;0;"DI01";"DISEASE";36
86;0;"DI03";"DISEASE";36
87;0;"DI04";"DISEASE";36
88;0;"DI07";"DISEASE";36
89;0;"DI06";"DISEASE";37
90;0;"DI07";"DISEASE";37
91;0;"DI01";"DISEASE";38
92;0;"DI03";"DISEASE";38
93;0;"DI06";"DISEASE";38
94;0;"DI01";"DISEASE";39
95;0;"DI03";"DISEASE";39
96;0;"DI07";"DISEASE";39
97;0;"DI09";"DISEASE";39
98;0;"DI13";"DISEASE";39
99;0;"DI00";"DISEASE";40
100;0;"DI07";"DISEASE";41
101;0;"DI02";"DISEASE";42
102;0;"DI07";"DISEASE";43
103;0;"DI02";"DISEASE";44
104;0;"DI02";"DISEASE";45
105;0;"DI06";"DISEASE";45
106;0;"DI03";"DISEASE";46
107;0;"DI07";"DISEASE";46
108;0;"DI02";"DISEASE";47
109;0;"DI04";"DISEASE";47
110;0;"DI05";"DISEASE";47
111;0;"DI03";"DISEASE";48
112;0;"DI01";"DISEASE";49
113;0;"DI05";"DISEASE";49
114;0;"DI07";"DISEASE";49
115;0;"DI01";"DISEASE";50
116;0;"DI04";"DISEASE";50
117;0;"DI17";"DISEASE";50
118;0;"DI01";"DISEASE";51
119;0;"DI02";"DISEASE";51
120;0;"DI04";"DISEASE";51
121;0;"DI07";"DISEASE";51
122;0;"DI01";"DISEASE";52
123;0;"DI02";"DISEASE";52
124;0;"DI04";"DISEASE";52
125;0;"DI06";"DISEASE";52
126;0;"DI07";"DISEASE";52
127;0;"DI00";"DISEASE";53
